Window size,Player,Rando time (ms),Expy time (ms)
10000,As_EV_NHM_4,1077.13822,861.29721
9750,As_EV_NHM_4,1149.37776,782.18840
9500,As_EV_NHM_4,1024.01535,835.74159
9250,As_EV_NHM_4,1191.66187,873.25032
9000,As_EV_NHM_4,1146.66291,866.05827
8750,As_EV_NHM_4,1084.73945,805.63033
8500,As_EV_NHM_4,1145.07922,874.20184
8250,As_EV_NHM_4,1295.43151,943.04617
8000,As_EV_NHM_4,1162.48428,870.69561
7750,As_EV_NHM_4,1148.24863,807.10439
7500,As_EV_NHM_4,1098.55492,793.98518
7250,As_EV_NHM_4,1065.11901,781.10674
7000,As_EV_NHM_4,1128.35509,736.73527
6750,As_EV_NHM_4,986.92832,723.28223
6500,As_EV_NHM_4,1149.33140,809.98523
6250,As_EV_NHM_4,1066.17734,790.35762
6000,As_EV_NHM_4,1115.13708,723.28843
5750,As_EV_NHM_4,1173.05762,812.86933
5500,As_EV_NHM_4,1128.83090,744.04015
5250,As_EV_NHM_4,1140.25771,740.39973
5000,As_EV_NHM_4,1084.34769,782.37876
4750,As_EV_NHM_4,1061.15156,802.59365
4500,As_EV_NHM_4,1163.73342,762.61612
4250,As_EV_NHM_4,1117.61108,760.72713
4000,As_EV_NHM_4,1090.10654,754.12761
3750,As_EV_NHM_4,1192.43811,744.23935
3500,As_EV_NHM_4,1106.64481,764.42238
3250,As_EV_NHM_4,1150.17490,780.53260
3000,As_EV_NHM_4,1095.39871,795.45117
2750,As_EV_NHM_4,1215.80951,716.47534
2500,As_EV_NHM_4,1104.52441,748.55169
2250,As_EV_NHM_4,1194.14475,731.31261
2000,As_EV_NHM_4,1157.99817,752.16497
1750,As_EV_NHM_4,1103.67918,896.87327
1500,As_EV_NHM_4,1084.54241,781.69254
1250,As_EV_NHM_4,1076.49886,724.83919
1000,As_EV_NHM_4,1111.26583,751.68499
750,As_EV_NHM_4,1076.57354,761.96672
500,As_EV_NHM_4,1064.05606,909.31662
250,As_EV_NHM_4,1137.89602,837.15800
10000,As_MF_MFM_10,638.69525,1180.14581
9750,As_MF_MFM_10,617.76753,1180.39997
9500,As_MF_MFM_10,773.56550,1308.70386
9250,As_MF_MFM_10,861.84745,939.57078
9000,As_MF_MFM_10,587.43384,1069.74193
8750,As_MF_MFM_10,725.93780,989.37180
8500,As_MF_MFM_10,879.50908,1165.29855
8250,As_MF_MFM_10,658.28888,1431.07391
8000,As_MF_MFM_10,688.30390,1150.04280
7750,As_MF_MFM_10,734.83141,1264.46050
7500,As_MF_MFM_10,608.37768,1150.11102
7250,As_MF_MFM_10,663.61347,1357.45800
7000,As_MF_MFM_10,710.78914,1299.19503
6750,As_MF_MFM_10,587.22946,1018.51163
6500,As_MF_MFM_10,709.15342,1292.88895
6250,As_MF_MFM_10,731.52524,1193.14659
6000,As_MF_MFM_10,769.80972,1099.76587
5750,As_MF_MFM_10,757.82696,1208.58288
5500,As_MF_MFM_10,734.99232,1214.87222
5250,As_MF_MFM_10,769.85229,989.73366
5000,As_MF_MFM_10,758.13548,1066.70606
4750,As_MF_MFM_10,689.86766,1050.20878
4500,As_MF_MFM_10,609.56463,1248.25104
4250,As_MF_MFM_10,617.85538,1077.14406
4000,As_MF_MFM_10,573.96771,1087.84058
3750,As_MF_MFM_10,753.61679,1302.39172
3500,As_MF_MFM_10,792.56954,1128.34985
3250,As_MF_MFM_10,716.20431,1295.24961
3000,As_MF_MFM_10,647.87702,1250.82742
2750,As_MF_MFM_10,850.83015,1242.72943
2500,As_MF_MFM_10,747.66859,1243.26756
2250,As_MF_MFM_10,781.78277,1124.28416
2000,As_MF_MFM_10,871.32258,1320.61225
1750,As_MF_MFM_10,914.41506,1064.30980
1500,As_MF_MFM_10,613.80163,1031.55053
1250,As_MF_MFM_10,749.37385,1059.50110
1000,As_MF_MFM_10,782.03322,1200.02028
750,As_MF_MFM_10,782.17066,1203.53702
500,As_MF_MFM_10,848.06730,1224.04995
250,As_MF_MFM_10,705.28967,1228.13339
